"Tarih","Saat","Tüketim Miktarý (MWh)"
"09.01.2021","00:00","34.179,62"
"09.01.2021","01:00","32.540,12"
"09.01.2021","02:00","31.207,36"
"09.01.2021","03:00","30.300,31"
"09.01.2021","04:00","29.733,83"
"09.01.2021","05:00","29.862,21"
"09.01.2021","06:00","30.043,88"
"09.01.2021","07:00","30.751,12"
"09.01.2021","08:00","32.581,69"
"09.01.2021","09:00","34.678,94"
"09.01.2021","10:00","36.166,38"
"09.01.2021","11:00","37.487,93"
"09.01.2021","12:00","37.211,80"
"09.01.2021","13:00","37.810,82"
"09.01.2021","14:00","38.101,10"
"09.01.2021","15:00","37.558,51"
"09.01.2021","16:00","37.309,02"
"09.01.2021","17:00","37.765,19"
"09.01.2021","18:00","38.809,94"
"09.01.2021","19:00","37.942,62"
"09.01.2021","20:00","36.954,46"
"09.01.2021","21:00","36.123,84"
"09.01.2021","22:00","35.388,72"
"09.01.2021","23:00","34.248,06"
"10.01.2021","00:00","32.362,57"
"10.01.2021","01:00","30.788,59"
"10.01.2021","02:00","29.431,82"
"10.01.2021","03:00","28.455,28"
"10.01.2021","04:00","28.145,71"
"10.01.2021","05:00","28.011,47"
"10.01.2021","06:00","28.015,06"
"10.01.2021","07:00","27.999,79"
"10.01.2021","08:00","27.876,20"
"10.01.2021","09:00","29.614,24"
"10.01.2021","10:00","31.095,17"
"10.01.2021","11:00","32.423,24"
"10.01.2021","12:00","32.824,93"
"10.01.2021","13:00","33.561,79"
"10.01.2021","14:00","33.812,88"
"10.01.2021","15:00","33.369,91"
"10.01.2021","16:00","33.842,39"
"10.01.2021","17:00","34.861,64"
"10.01.2021","18:00","36.205,84"
"10.01.2021","19:00","35.781,33"
"10.01.2021","20:00","35.012,36"
"10.01.2021","21:00","34.213,51"
"10.01.2021","22:00","33.725,85"
"10.01.2021","23:00","32.774,06"
"11.01.2021","00:00","31.395,13"
"11.01.2021","01:00","29.954,28"
"11.01.2021","02:00","28.810,24"
"11.01.2021","03:00","28.104,63"
"11.01.2021","04:00","27.838,92"
"11.01.2021","05:00","28.173,46"
"11.01.2021","06:00","29.076,66"
"11.01.2021","07:00","31.478,08"
"11.01.2021","08:00","36.509,43"
